Ramp Metering API Debug File

Number of ramp meters = 62

Ramp metering queue detector association table

Num     Meter    Q1DetLn1  Q1DetLn2  Q2Detln1  Q2Detln2  MainDetLn1  MainDetLn2  MainDetLn3  MainDetLn4  MainDetLn5  MainDetLn6  Control   CritOccA   CritOccB   CritVolA   CritVolB  CritSpeed   Q1Thresh   Q2Thresh   RateStep    RateMin    RateMax
  0     25212     7820993   7991439        -1        -1       23250       23249       23248       23247          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
  1     25213     7821008   7991440        -1        -1       23232       23233       23234       23235          -1          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00    2700.00
  2     25214       25216   7991441        -1        -1       23255       23256       23257       23258          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
  3     25217       25218   7991443        -1        -1       23219       23220       23221       23222       23223          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00    2700.00
  4     25220       25219   7991442        -1        -1       23274       23273       23272       23271          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    2700.00
  5     25221       25222   7991438        -1        -1     7824607     7824606     7824605          -1          -1          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00    2700.00
  6     25223     7821010   7991436        -1        -1       22513       22514       22515       22516          -1          -1        1      15.00       0.00      95.00       0.00      35.00       3.20       0.00     120.00       0.00     900.00
  7     25224     7821009   7991435        -1        -1       23310       23309       23311       23312          -1          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00     900.00
  8     25225     7821059        -1        -1        -1       23321       23323       23324       23325       23326          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00    2700.00
  9     25229     7821060   7991437        -1        -1       22521       22522       22523       22524          -1          -1        1      15.00       0.00      95.00       0.00      35.00       3.20       0.00     120.00       0.00    2700.00
 10     25236       25237        -1        -1        -1       23212       23213       23214       23215          -1          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00    2700.00
 11     25238       25239   7991444        -1        -1       22544       22546       22547       22548        2259       22550        1      15.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 12     25241       25240   7991445        -1        -1       23195       23196       23197       23198       23199       23200        1      14.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 13     25242       25243   7991446        -1        -1       22557       22558       22559       22560       22561          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 14     25244       25245   7991447        -1        -1       23184       13183       13181       23186       23185          -1        1      16.00       0.00     100.00       0.00      25.00       3.20       0.00     240.00       0.00    1800.00
 15     25247       25246   7991448        -1        -1       22565       22569       22564       22566       22568       22567        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 16     25248       25249   7991449        -1        -1       22572       28142       28143       28144       28145          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 17     25250       25251   7991450        -1        -1       23167       23169       23170       23171       23172          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 18     25252       25253   7991451        -1        -1       23161       23162       23163       23164       23165       23166        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 19     25254       25255   7991452        -1        -1       22578       22582       22583       22581       22584          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
